JOBID	ST	WORKDIR	NAME	RESULT
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_37185-Sr2Si4	icsd_37185-Sr2Si4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_52983-Np1Co2Ge2	icsd_52983-Np1Co2Ge2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_623956-K1Co2S2	icsd_623956-K1Co2S2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_602102-Ho1P2Ru2	icsd_602102-Ho1P2Ru2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_621055-Ce1Fe2P2	icsd_621055-Ce1Fe2P2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_106244-Pr1Al2Zn2	icsd_106244-Pr1Al2Zn2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_646551-Tl1Ni2Se2	icsd_646551-Tl1Ni2Se2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_613974-Ho1Fe2B2	icsd_613974-Ho1Fe2B2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_55650-Er3Cu4Si4	icsd_55650-Er3Cu4Si4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_624795-Rb1Co2S2	icsd_624795-Rb1Co2S2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_612925-Er1Co2B2	icsd_612925-Er1Co2B2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_611069-Sm1Ni2As2	icsd_611069-Sm1Ni2As2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_106696-Sm1Si2Ag2	icsd_106696-Sm1Si2Ag2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_627879-Yb3Cu4Ge4	icsd_627879-Yb3Cu4Ge4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_612131-Lu1Au4	icsd_612131-Lu1Au4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_610099-Pr1Co2As2	icsd_610099-Pr1Co2As2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_635976-Gd1Mn2Si2	icsd_635976-Gd1Mn2Si2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_58885-Ca2Ga1Cu2	icsd_58885-Ca2Ga1Cu2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_182274-Ba1Fe2As2	icsd_182274-Ba1Fe2As2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_419134-Yb4Mn2Sn5	icsd_419134-Yb4Mn2Sn5.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_602128-Y1P2Ru2	icsd_602128-Y1P2Ru2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_106137-Tb2Zn4	icsd_106137-Tb2Zn4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_411149-Pr2Ti2S2O5	icsd_411149-Pr2Ti2S2O5.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_88181-Tb1Ni2P2	icsd_88181-Tb1Ni2P2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_602096-Sr1P2Os2	icsd_602096-Sr1P2Os2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_77846-U2Te2P2	icsd_77846-U2Te2P2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_648864-Sr1Si2Pd2	icsd_648864-Sr1Si2Pd2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_646442-Sr1Ni2Sb2	icsd_646442-Sr1Ni2Sb2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_648697-Pr1Si2Pd2	icsd_648697-Pr1Si2Pd2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_614808-B4Mo4	icsd_614808-B4Mo4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_24278-B2Mo4	icsd_24278-B2Mo4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_69726-U2Cu4As5	icsd_69726-U2Cu4As5.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_106843-Sm1Cu2Si2	icsd_106843-Sm1Cu2Si2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_153292-Mn1Ga1Ni2	icsd_153292-Mn1Ga1Ni2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_626579-Cr1Te4Rh2	icsd_626579-Cr1Te4Rh2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_646183-Y1Ni2P2	icsd_646183-Y1Ni2P2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_625135-Zr1Co2Si2	icsd_625135-Zr1Co2Si2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_57354-Ca2Ag4	icsd_57354-Ca2Ag4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_36197-Hg2I2	icsd_36197-Hg2I2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_56652-Tm1Ni2B2C1	icsd_56652-Tm1Ni2B2C1.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_105387-Ta4Ni2	icsd_105387-Ta4Ni2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_623400-Gd1Co1Si3	icsd_623400-Gd1Co1Si3.sh	?
